"Nome do projeto","Website G4"
"Intervalo de datas","04/20/2026 00:00 - 04/20/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Sistemas operacionais","Não, de sessões","% de sessões"
"","Windows","286","46,05%"
"","iOS","141","22,71%"
"","Android","100","16,10%"
"","MacOS","89","14,33%"
"","Linux","4","0,64%"
"","ChromeOS","1","0,16%"
