"Nome do projeto","Website G4"
"Intervalo de datas","04/18/2026 00:00 - 04/18/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Sistemas operacionais","Não, de sessões","% de sessões"
"","iOS","145","37,28%"
"","Android","109","28,02%"
"","Windows","97","24,94%"
"","MacOS","32","8,23%"
"","Linux","4","1,03%"
"","ChromeOS","1","0,26%"
"","Ubuntu","1","0,26%"
