"Nome do projeto","Website G4"
"Intervalo de datas","04/18/2026 00:00 - 04/18/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Campanha","Não, de sessões"
"","adsgg_g4_bau074_lgen_g4-institucional_bofu_form-g4-google_leads_branding_site-g4","5"
"","adsgg_g4_bau419_lgen_programas-presenciais_bofu_form-g4-google_leads_branding_lp","2"
"","always-on","2"
"","adsfb_g4_bau461_sc_todos-programas_mofu_selfcheckout-outros_venda_perpetuo_ecommerce","1"
"","adsfb_g4_bau470_lgen_g4-imersoes_bofu_form-g4-facebook_leads_captacao_lp","1"
"","adsgg_g4_bau081_lgen_g4-mkt-e-growth_bofu_form-g4-google_leads_branding_form-lp-dinamico","1"
"","adsgg_g4_bau084_lgen_g4-customer-experience_bofu_form-g4-google_leads_no-branding_form-lp-dinamico","1"
"","adsgg_g4_bau086_lgen_g4-gestao-de-pessoas_bofu_form-g4-google_leads_no-branding_form-lp-dinamico","1"
"","adsgg_g4_bau111_lgen_g4-comunidades_bofu_form-g4-google_leads_captacao_lp","1"
"","fg4vitalicio","1"
