"Nome do projeto","Website G4"
"Intervalo de datas","04/18/2026 00:00 - 04/18/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Todos os usuários"
"","Id de usuário","Não, de sessões","País/Região","Dispositivo"
"","43l1uj","3","United States","PC"
"","34jovx","2","Brazil","Mobile"
"","7fyk8k","2","Brazil","PC"
"","cenpq6","2","Brazil","Mobile"
"","d9johu","2","Brazil","Mobile"
"","exwdag","2","United States","PC"
"","giioxd","2","Brazil","PC"
"","hkuy40","2","Canada","Mobile"
"","hx0ec1","2","Brazil","Mobile"
"","jwt75b","2","United States","Mobile"
"","m2c64e","2","Brazil","PC"
"","xoe61h","2","Brazil","PC"
