"Nome do projeto","Website G4"
"Intervalo de datas","04/18/2026 00:00 - 04/18/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Dispositivos","Não, de sessões","% de sessões"
"","Mobile","247","63,50%"
"","PC","135","34,70%"
"","Tablet","7","1,80%"
