"Nome do projeto","Website G4"
"Intervalo de datas","04/21/2026 00:00 - 04/21/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Sistemas operacionais","Não, de sessões","% de sessões"
"","iOS","172","34,33%"
"","Windows","151","30,14%"
"","Android","105","20,96%"
"","MacOS","69","13,77%"
"","Linux","2","0,40%"
"","ChromeOS","1","0,20%"
"","Ubuntu","1","0,20%"
