"Nome do projeto","Website G4"
"Intervalo de datas","04/21/2026 00:00 - 04/21/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Fonte","Não, de sessões"
"","Google","229"
"","    google","229"
"","Direct","154"
"","    g4business.com","148"
"","    forms.g4business.com","6"
"","Instagram","91"
"","    instagram.com","89"
"","    instagram","2"
"","g4business.com","34"
"","Facebook","21"
"","    m.facebook.com","17"
"","    l.facebook.com","2"
"","    facebook","2"
"","Bing","16"
"","    bing","16"
"","portal.g4educacao.com","11"
"","Yahoo","9"
"","    yahoo","9"
"","g4educacao.com","7"
"","self-checkout.g4educacao.com","5"
"","forms.g4business.com","4"
"","l.wl.co","4"
