"Nome do projeto","Website G4"
"Intervalo de datas","04/21/2026 00:00 - 04/21/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Campanha","Não, de sessões"
"","adsgg_g4_bau074_lgen_g4-institucional_bofu_form-g4-google_leads_branding_site-g4","22"
"","adsgg_g4_bau419_lgen_programas-presenciais_bofu_form-g4-google_leads_branding_lp","6"
"","adsgg_g4_bau081_lgen_g4-mkt-e-growth_bofu_form-g4-google_leads_branding_form-lp-dinamico","2"
"","adsgg_g4_bau418_sc_g4-ecomm_bofu_on-selfcheckout-outros_pmax_captacao_ecommerce","2"
"","ClassXVII","1"
"","adsfb_g4_bau394_sc_formacao-bp_bofu_on-selfcheckout-outros_venda_captacao_lp","1"
"","adsfb_g4_bau423_sc_trial-skills-7d_bofu_selfcheckout-outros_venda_perpetuo_lp","1"
"","adsgg_g4_bau080_lgen_g4-sales_bofu_form-g4-google_leads_no-branding_form-lp-dinamico","1"
"","adsgg_g4_bau111_lgen_g4-comunidades_bofu_form-g4-google_leads_captacao_lp","1"
"","always-on","1"
"","bio","1"
"","canal-g4","1"
