"Nome do projeto","Website G4"
"Intervalo de datas","04/21/2026 00:00 - 04/21/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Dispositivos","Não, de sessões","% de sessões"
"","Mobile","268","53,49%"
"","PC","224","44,71%"
"","Tablet","9","1,80%"
