"Nome do projeto","Website G4"
"Intervalo de datas","04/21/2026 00:00 - 04/21/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Todos os usuários"
"","Id de usuário","Não, de sessões","País/Região","Dispositivo"
"","7tz65b","4","Brazil","PC"
"","4f9ir6","3","Brazil","PC"
"","6v2zmj","3","Brazil","PC"
"","qpgolv","3","Brazil","PC"
"","1jndjrr","3","Brazil","PC"
"","1joosb","2","Brazil","Mobile"
"","3bh8yz","2","Brazil","Mobile"
"","3n539s","2","Brazil","Mobile"
"","5csrll","2","Brazil","PC"
"","5ke72x","2","Brazil","Mobile"
"","6vyl1a","2","Brazil","Mobile"
"","7lsxcs","2","Brazil","Mobile"
