"Nome do projeto","Website G4"
"Intervalo de datas","04/15/2026 00:00 - 04/15/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Todos os usuários"
"","Id de usuário","Não, de sessões","País/Região","Dispositivo"
"","cowgh2","7","Brazil","PC"
"","bwy1js","5","Brazil","PC"
"","o6isoj","4","Brazil","PC"
"","oksrxo","4","Brazil","PC"
"","10yz2xi","4","Brazil","PC"
"","1261dwd","4","Brazil","Mobile"
"","e7w2xh","3","Brazil","PC"
"","inwuvj","3","Brazil","PC"
"","narmka","3","Brazil","PC"
"","nogsv7","3","Brazil","PC"
"","siaim6","3","Brazil","PC"
"","10ihlvp","3","Brazil","PC"
