"Nome do projeto","Website G4"
"Intervalo de datas","04/14/2026 00:00 - 04/14/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Campanha","Não, de sessões"
"","adsgg_g4_bau074_lgen_g4-institucional_bofu_form-g4-google_leads_branding_site-g4","13"
"","adsgg_g4_bau419_lgen_programas-presenciais_bofu_form-g4-google_leads_branding_lp","5"
"","adsgg_g4_bau111_lgen_g4-comunidades_bofu_form-g4-google_leads_captacao_lp","2"
"","always-on","2"
"","adsbg_g4_bau060_lgen_g4-institucional_bofu_form-g4-outros_leads_branding_form-lp-dinamico","1"
"","adsfb_g4_bau421_sc_fg4_bofu_selfcheckout-fg4_venda_perpetuo_lp","1"
"","adsgg_g4_bau078_lgen_traction_bofu_form-g4-google_leads_no-branding_form-lp-dinamico","1"
"","adsgg_g4_bau209_lgen_g4-imersões_bofu_form-g4-google_leads_no-branding_lp","1"
"","adsgg_g4_bau418_sc_g4-ecomm_bofu_on-selfcheckout-outros_pmax_captacao_ecommerce","1"
"","o-que-e-gestao","1"
"","recommendation_cards","1"
"","skils_2026","1"
