"Nome do projeto","Website G4"
"Intervalo de datas","04/14/2026 00:00 - 04/14/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Todos os usuários"
"","Id de usuário","Não, de sessões","País/Região","Dispositivo"
"","1det0eu","6","Brazil","PC"
"","1sawdjl","4","Brazil","PC"
"","1cyrud","3","Brazil","PC"
"","56gj8e","3","Brazil","PC"
"","gceiaw","3","Brazil","Mobile"
"","85g7y","2","Brazil","PC"
"","10vbbj","2","Brazil","Mobile"
"","3wyndw","2","Brazil","Mobile"
"","dbw5oz","2","Brazil","Mobile"
"","f7y0nm","2","Brazil","PC"
"","j885xd","2","Brazil","Mobile"
"","jturae","2","Angola","Mobile"
