"Nome do projeto","Website G4"
"Intervalo de datas","04/14/2026 00:00 - 04/14/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Fonte","Não, de sessões"
"","Google","228"
"","    google","228"
"","Direct","194"
"","    g4business.com","191"
"","    forms.g4business.com","3"
"","Instagram","106"
"","    instagram.com","103"
"","    instagram","2"
"","    ig","1"
"","g4business.com","41"
"","self-checkout.g4educacao.com","25"
"","l.wl.co","14"
"","Facebook","9"
"","    m.facebook.com","7"
"","    www.facebook.com","1"
"","    facebook","1"
"","g4educacao.com","8"
"","portal.g4educacao.com","6"
"","Bing","5"
"","    bing","5"
"","forms.g4business.com","3"
"","checkout.g4educacao.com","2"
