"Nome do projeto","Website G4"
"Intervalo de datas","04/19/2026 00:00 - 04/19/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Todos os usuários"
"","Id de usuário","Não, de sessões","País/Região","Dispositivo"
"","1rcoyr7","4","Brazil","Mobile"
"","dx2cfi","3","Brazil","PC"
"","i0yo1e","3","Brazil","PC"
"","t4vl6k","3","Brazil","PC"
"","ww7pwi","3","Brazil","Mobile"
"","1r4njce","3","Brazil","Mobile"
"","1rl60s","2","Brazil","PC"
"","1y8ni2","2","Brazil","Mobile"
"","ed6frt","2","Brazil","Mobile"
"","kmxkw9","2","Brazil","Mobile"
"","m8uagl","2","Brazil","PC"
"","p36hn9","2","Brazil","PC"
