"Nome do projeto","Website G4"
"Intervalo de datas","04/19/2026 00:00 - 04/19/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Sistemas operacionais","Não, de sessões","% de sessões"
"","iOS","172","44,33%"
"","Android","111","28,61%"
"","Windows","72","18,56%"
"","MacOS","31","7,99%"
"","Linux","2","0,52%"
