"Nome do projeto","Website G4"
"Intervalo de datas","04/19/2026 00:00 - 04/19/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Campanha","Não, de sessões"
"","adsgg_g4_bau074_lgen_g4-institucional_bofu_form-g4-google_leads_branding_site-g4","12"
"","always-on","7"
"","adsgg_g4_bau419_lgen_programas-presenciais_bofu_form-g4-google_leads_branding_lp","5"
"","adsfb_g4_bau423_sc_trial-skills-7d_bofu_selfcheckout-outros_venda_perpetuo_lp","3"
"","adsfb_g4_bau470_lgen_g4-imersoes_bofu_form-g4-facebook_leads_captacao_lp","2"
"","adsyt_g4_bau428_sc_fg4_mofu_selfcheckout-outros_demandgen_captacao_lp","2"
"","adsfb_g4_bau421_sc_fg4_bofu_selfcheckout-fg4_venda_perpetuo_lp","1"
"","adsfb_g4_bau458_lgen_isca-reforma_bofu_isca_leads_captacao_lp","1"
"","adsgg_g4_bau080_lgen_g4-sales_bofu_form-g4-google_leads_no-branding_form-lp-dinamico","1"
"","adsgg_g4_bau081_lgen_g4-mkt-e-growth_bofu_form-g4-google_leads_branding_form-lp-dinamico","1"
"","adsgg_g4_bau086_lgen_g4-gestao-de-pessoas_bofu_form-g4-google_leads_no-branding_form-lp-dinamico","1"
"","canal-g4","1"
