"Nome do projeto","Website G4"
"Intervalo de datas","04/16/2026 00:00 - 04/16/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Total de sessões","200"

"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Data","Horário","Duração da sessão","URL de entrada","URL de saída","Referenciador:","ID de usuário de clareza","Navegador","Dispositivo","OS","País/Região","Contagem de páginas","Cliques na sessão","Favorito","Link de gravação"
"04/16/2026","23:58","00:22","https://g4business.com/","https://g4business.com/","https://www.google.com/","1j52rgh","GoogleApp","Mobile","iOS","Brazil","1","1","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/1j52rgh/5g14ux/?ss=1776394736000&sd=22"
"04/16/2026","23:57","07:25","https://g4business.com/","https://g4business.com/","https://www.google.com/","1efhjdc","Chrome","PC","MacOS","Brazil","5","10","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/1efhjdc/q6vf8r/?ss=1776394648000&sd=445"
"04/16/2026","23:56","08:49","https://g4business.com/","https://g4business.com/","","hnt7hn","SamsungInternet","Mobile","Android","Brazil","4","10","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/hnt7hn/14x61lw/?ss=1776394615000&sd=529"
"04/16/2026","23:56","02:47","https://g4business.com/","https://g4business.com/g4-learning","https://www.google.com/","17mnim2","ChromeMobile","Mobile","Android","Brazil","2","0","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/17mnim2/1kmqgpu/?ss=1776394585000&sd=167"
"04/16/2026","23:53","00:10","https://g4business.com/g4-learning","https://g4business.com/","https://g4business.com/","10s0qco","InstagramApp","Mobile","iOS","Brazil","2","0","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/10s0qco/o8ctww/?ss=1776394423000&sd=10"
"04/16/2026","23:53","02:23","https://g4business.com/","https://forms.g4business.com/inscricao/g4-programas-presenciais?ajs_aid=589e5d46-b51a-442a-b4d4-803a849c4faa&_gl=1*8kls62*_gcl_au*MTIxNzMwNTA5MS4xNzc2Mzk0Mzg2*_ga*MTg4ODc5NDY4NS4xNzc2Mzk0Mzkx*_ga_PQL3SJ0RPH*czE3NzYzOTQzOTAkbzEkZzEkdDE3NzYzOTQ1MjkkajU3JGwwJGg3Njk5OTcyMjk.*_ga_KSCFXHWCXW*czE3NzYzOTQzOTEkbzEkZzEkdDE3NzYzOTQ1MjkkajU3JGwwJGgw","https://www.google.com/","1uasgh9","ChromeMobile","Mobile","Android","Brazil","6","11","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/1uasgh9/slshu6/?ss=1776394392000&sd=143"
"04/16/2026","23:47","05:12","https://g4business.com/","https://g4business.com/","https://g4business.com/callback","eazwco","Chrome","PC","MacOS","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/eazwco/l1qp2j/?ss=1776394064000&sd=312"
"04/16/2026","23:47","05:06","https://g4business.com/","https://g4business.com/","","1gmyo74","Safari","PC","MacOS","Brazil","2","0","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/1gmyo74/5btvz2/?ss=1776394033000&sd=306"
"04/16/2026","23:46","01:23:00","https://g4business.com/","https://g4business.com/","https://www.bing.com/","16q1cqc","Edge","PC","Windows","Brazil","8","4","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/16q1cqc/acnr4c/?ss=1776394013000&sd=4980"
"04/16/2026","23:46","02:34","https://g4business.com/","https://g4business.com/cases-de-sucesso","https://www.google.com/","1sepc4p","Chrome","PC","Windows","Brazil","3","2","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/1sepc4p/11kvks/?ss=1776393967000&sd=154"
"04/16/2026","23:40","00:37","https://g4business.com/","https://g4business.com/","https://instagram.com/","1doug3n","InstagramApp","Mobile","iOS","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/1doug3n/1cqf207/?ss=1776393653000&sd=37"
"04/16/2026","23:31","00:10","https://g4business.com/","https://g4business.com/","https://instagram.com/","u4f342","InstagramApp","Mobile","iOS","Brazil","1","1","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/u4f342/1m7fa3c/?ss=1776393096000&sd=10"
"04/16/2026","23:29","03:51","https://g4business.com/","https://g4business.com/g4-learning","","1ik64z2","ChromeMobile","Mobile","Android","Brazil","4","5","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/1ik64z2/ln48mj/?ss=1776392997000&sd=231"
"04/16/2026","23:29","06:15","https://g4business.com/","https://g4business.com/","https://www.google.com/","1xbpwb9","Safari","PC","MacOS","Brazil","9","21","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/1xbpwb9/rgwbqd/?ss=1776392956000&sd=375"
"04/16/2026","23:26","00:34","https://g4business.com/","https://g4business.com/","","1alt42g","MobileSafari","Mobile","iOS","Brazil","1","0","FALSE","https://clarity.microsoft.com/player/gqp2qk3220/1alt42g/1usbjxv/?ss=1776392777000&sd=34"
