"Nome do projeto","Website G4"
"Intervalo de datas","04/16/2026 00:00 - 04/16/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Todos os usuários"
"","Id de usuário","Não, de sessões","País/Região","Dispositivo"
"","1g5xovw","6","Brazil","Mobile"
"","cowgh2","5","Brazil","PC"
"","pjpn0j","5","Brazil","PC"
"","1kiw95r","5","Brazil","PC"
"","5bo8gn","4","Brazil","PC"
"","dkqkcw","4","Brazil","PC"
"","173qtcn","4","Brazil","PC"
"","1atos2z","4","Brazil","PC"
"","1dncr6","3","Brazil","PC"
"","2u5mxx","3","Brazil","PC"
"","6fcj4s","3","Brazil","PC"
"","6i2zms","3","Brazil","PC"
