"Nome do projeto","Website G4"
"Intervalo de datas","04/16/2026 00:00 - 04/16/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Sistemas operacionais","Não, de sessões","% de sessões"
"","Windows","437","46,19%"
"","iOS","231","24,42%"
"","MacOS","184","19,45%"
"","Android","85","8,99%"
"","Linux","9","0,95%"
