"Nome do projeto","Website G4"
"Intervalo de datas","04/17/2026 00:00 - 04/17/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Sistemas operacionais","Não, de sessões","% de sessões"
"","Windows","320","44,08%"
"","iOS","190","26,17%"
"","MacOS","109","15,01%"
"","Android","102","14,05%"
"","Linux","4","0,55%"
"","ChromeOS","1","0,14%"
