"Nome do projeto","Website G4"
"Intervalo de datas","04/17/2026 00:00 - 04/17/2026 23:59"


"URL visitada é exatamente","https://g4business.com/"
"URL visitada começa com","https://g4business.com/"

"Métrica","Dispositivos","Não, de sessões","% de sessões"
"","PC","411","58,46%"
"","Mobile","287","40,83%"
"","Tablet","5","0,71%"
